GRAPH,Algorithm,Execução,Resultado
200-15920,Prim,8,0.0329476
200-15920,Prim,9,0.033111
200-15920,Prim,10,0.0333296
200-15920,Bellman - Lista,1,0.0329173
200-15920,Bellman - Lista,2,0.0273192
200-15920,Bellman - Lista,3,0.0278373
200-15920,Bellman - Lista,4,0.0292886
200-15920,Bellman - Lista,5,0.0351389
200-15920,Bellman - Lista,6,0.031759
200-15920,Bellman - Lista,7,0.0311458
200-15920,Bellman - Lista,8,0.0417554
200-15920,Bellman - Lista,9,0.0264906
200-15920,Bellman - Lista,10,0.0676167
200-15920,Bellman - Matriz,1,0.0234354
200-15920,Bellman - Matriz,2,0.0260479
200-15920,Bellman - Matriz,3,0.0211763
200-15920,Bellman - Matriz,4,0.0228345
200-15920,Bellman - Matriz,5,0.0238422
200-15920,Bellman - Matriz,6,0.0221681
200-15920,Bellman - Matriz,7,0.0221821
200-15920,Bellman - Matriz,8,0.0221205
200-15920,Bellman - Matriz,9,0.0201311
200-15920,Bellman - Matriz,10,0.0224483
200-15920,Djkstra - Lista,1,0.039984
200-15920,Djkstra - Lista,2,0.0420695
200-15920,Djkstra - Lista,3,0.039857
200-15920,Djkstra - Lista,4,0.0403341
200-15920,Djkstra - Lista,5,0.0369634
200-15920,Djkstra - Lista,6,0.0384371
200-15920,Djkstra - Lista,7,0.0369244
200-15920,Djkstra - Lista,8,0.0465781
200-15920,Djkstra - Lista,9,0.0440089
200-15920,Djkstra - Lista,10,0.0923231
200-15920,Djkstra - Matriz,1,0.0420445
200-15920,Djkstra - Matriz,2,0.0372941
200-15920,Djkstra - Matriz,3,0.0373201
200-15920,Djkstra - Matriz,4,0.0393975
200-15920,Djkstra - Matriz,5,0.0363076
200-15920,Djkstra - Matriz,6,0.0357299
200-15920,Djkstra - Matriz,7,0.0352458
200-15920,Djkstra - Matriz,8,0.035413
200-15920,Djkstra - Matriz,9,0.0369768
200-15920,Djkstra - Matriz,10,0.0364978
200-15920,Floyd,1,1.6349107
200-15920,Floyd,2,1.7082115
200-15920,Floyd,3,1.6088398
200-15920,Floyd,4,1.7214784
200-15920,Floyd,5,1.6789349
200-15920,Floyd,6,1.7040287
200-15920,Floyd,7,1.6419174
200-15920,Floyd,8,1.7256495
200-15920,Floyd,9,1.6231945
200-15920,Floyd,10,1.6927021
200-15920,Fulkerson,1,0.0176404
200-15920,Fulkerson,2,0.0168876
200-15920,Fulkerson,3,0.0176877
200-15920,Fulkerson,4,0.0177566
200-15920,Fulkerson,5,0.0167127
200-15920,Fulkerson,6,0.0179485
200-15920,Fulkerson,7,0.0175787
200-15920,Fulkerson,8,0.015281
200-15920,Fulkerson,9,0.0156687
200-15920,Fulkerson,10,0.0158737
200-23880,BFS,1,0.0449217
200-23880,BFS,2,0.0418973
200-23880,BFS,3,0.044511
200-23880,BFS,4,0.0423694
200-23880,BFS,5,0.0417617
200-23880,BFS,6,0.0409866
200-23880,BFS,7,0.0411908
200-23880,BFS,8,0.043296
200-23880,BFS,9,0.0396331
200-23880,BFS,10,0.0401087
200-23880,DFS,1,0.0307662
200-23880,DFS,2,0.0292208
200-23880,DFS,3,0.0295939
200-23880,DFS,4,0.0299573
200-23880,DFS,5,0.0333489
200-23880,DFS,6,0.0436313
200-23880,DFS,7,0.0314728
200-23880,DFS,8,0.0299204
200-23880,DFS,9,0.0276234
200-23880,DFS,10,0.0290679
200-23880,Ordenação,1,0.0312425
200-23880,Ordenação,2,0.029838
200-23880,Ordenação,3,0.0297884
200-23880,Ordenação,4,0.0311514
200-23880,Ordenação,5,0.0293386
200-23880,Ordenação,6,0.0296615
200-23880,Ordenação,7,0.0314336
200-23880,Ordenação,8,0.0290386
200-23880,Ordenação,9,0.0292806
200-23880,Ordenação,10,0.0328507
200-23880,Kruskal,1,0.0596294
200-23880,Kruskal,2,0.062142
200-23880,Kruskal,3,0.057789
200-23880,Kruskal,4,0.0579135
200-23880,Kruskal,5,0.0500919
200-23880,Kruskal,6,0.048811
200-23880,Kruskal,7,0.0483375
200-23880,Kruskal,8,0.0476914
200-23880,Kruskal,9,0.0488325
200-23880,Kruskal,10,0.0485132
200-23880,Prim,1,0.0458166
200-23880,Prim,2,0.0420814
200-23880,Prim,3,0.0427157
200-23880,Prim,4,0.0410362
200-23880,Prim,5,0.0425046
200-23880,Prim,6,0.0463807
200-23880,Prim,7,0.0920175
200-23880,Prim,8,0.0401582
200-23880,Prim,9,0.038253
200-23880,Prim,10,0.0385354
200-23880,Bellman - Lista,1,0.0388864
200-23880,Bellman - Lista,2,0.0397188
200-23880,Bellman - Lista,3,0.0420906
200-23880,Bellman - Lista,4,0.0385458
200-23880,Bellman - Lista,5,0.0371064
200-23880,Bellman - Lista,6,0.0385302
200-23880,Bellman - Lista,7,0.0384626
200-23880,Bellman - Lista,8,0.0395237
200-23880,Bellman - Lista,9,0.0393193
200-23880,Bellman - Lista,10,0.0381776
200-23880,Bellman - Matriz,1,0.027972
200-23880,Bellman - Matriz,2,0.0290469
200-23880,Bellman - Matriz,3,0.0277224
200-23880,Bellman - Matriz,4,0.026219
200-23880,Bellman - Matriz,5,0.0273942
200-23880,Bellman - Matriz,6,0.0274589
200-23880,Bellman - Matriz,7,0.0277587
200-23880,Bellman - Matriz,8,0.0299633
200-23880,Bellman - Matriz,9,0.0296795
200-23880,Bellman - Matriz,10,0.0291383
200-23880,Djkstra - Lista,1,0.0454787
200-23880,Djkstra - Lista,2,0.0627577
200-23880,Djkstra - Lista,3,0.0552376
200-23880,Djkstra - Lista,4,0.053537
200-23880,Djkstra - Lista,5,0.0616134
200-23880,Djkstra - Lista,6,0.0572874
200-23880,Djkstra - Lista,7,0.0462981
200-23880,Djkstra - Lista,8,0.0441879
200-23880,Djkstra - Lista,9,0.0457077
200-23880,Djkstra - Lista,10,0.0451708
200-23880,Djkstra - Matriz,1,0.0453836
200-23880,Djkstra - Matriz,2,0.044351
200-23880,Djkstra - Matriz,3,0.0424639
200-23880,Djkstra - Matriz,4,0.0437985
200-23880,Djkstra - Matriz,5,0.0437111
200-23880,Djkstra - Matriz,6,0.041706
200-23880,Djkstra - Matriz,7,0.0438562
200-23880,Djkstra - Matriz,8,0.0421115
200-23880,Djkstra - Matriz,9,0.0419822
200-23880,Djkstra - Matriz,10,0.0410823
200-23880,Floyd,1,1.7095606
200-23880,Floyd,2,1.6406414
200-23880,Floyd,3,1.6664489
200-23880,Floyd,4,1.6297468
200-23880,Floyd,5,1.6857314
200-23880,Floyd,6,1.618387
200-23880,Floyd,7,1.6946901
200-23880,Floyd,8,1.6437525
200-23880,Floyd,9,1.6609195
200-23880,Floyd,10,1.6292678
200-23880,Fulkerson,1,0.0281997
200-23880,Fulkerson,2,0.0251332
200-23880,Fulkerson,3,0.0270471
200-23880,Fulkerson,4,0.0243845
200-23880,Fulkerson,5,0.0256955
200-23880,Fulkerson,6,0.0242411
200-23880,Fulkerson,7,0.0251876
200-23880,Fulkerson,8,0.0243515
200-23880,Fulkerson,9,0.0265891
200-23880,Fulkerson,10,0.0250164
200-31840,BFS,1,0.0518524
200-31840,BFS,2,0.0498201
200-31840,BFS,3,0.0492161
200-31840,BFS,4,0.0535906
200-31840,BFS,5,0.0477957
200-31840,BFS,6,0.0463944
200-31840,BFS,7,0.0455775
200-31840,BFS,8,0.0481593
200-31840,BFS,9,0.0477968
200-31840,BFS,10,0.0487615
200-31840,DFS,1,0.0378747
200-31840,DFS,2,0.0360921
200-31840,DFS,3,0.0449162
200-31840,DFS,4,0.0393909
200-31840,DFS,5,0.0420755
200-31840,DFS,6,0.0338882
200-31840,DFS,7,0.0385295
200-31840,DFS,8,0.0486479
200-31840,DFS,9,0.0352695
200-31840,DFS,10,0.0331934
200-31840,Ordenação,1,0.0387419
200-31840,Ordenação,2,0.0369665
200-31840,Ordenação,3,0.0382837
200-31840,Ordenação,4,0.0376017
200-31840,Ordenação,5,0.0362912
200-31840,Ordenação,6,0.0362006
200-31840,Ordenação,7,0.0378804
200-31840,Ordenação,8,0.0355684
200-31840,Ordenação,9,0.0366438
200-31840,Ordenação,10,0.0358338
200-31840,Kruskal,1,0.0641338
200-31840,Kruskal,2,0.0718599
200-31840,Kruskal,3,0.0672415
200-31840,Kruskal,4,0.0591217
200-31840,Kruskal,5,0.0581489
200-31840,Kruskal,6,0.0579161
200-31840,Kruskal,7,0.0584201
200-31840,Kruskal,8,0.0585767
200-31840,Kruskal,9,0.0583503
200-31840,Kruskal,10,0.0584328
200-31840,Prim,1,0.0505963
200-31840,Prim,2,0.0476282
200-31840,Prim,3,0.0575612
200-31840,Prim,4,0.0536821
200-31840,Prim,5,0.0453918
200-31840,Prim,6,0.0442694
200-31840,Prim,7,0.0448921
200-31840,Prim,8,0.046166
200-31840,Prim,9,0.0441651
200-31840,Prim,10,0.0467942
200-31840,Bellman - Lista,1,0.0483941
200-31840,Bellman - Lista,2,0.0489816
200-31840,Bellman - Lista,3,0.0486896
200-31840,Bellman - Lista,4,0.0490515
200-31840,Bellman - Lista,5,0.0457511
200-31840,Bellman - Lista,6,0.0499999
200-31840,Bellman - Lista,7,0.0480311
200-31840,Bellman - Lista,8,0.0490121
200-31840,Bellman - Lista,9,0.0489525
200-31840,Bellman - Lista,10,0.048318
200-31840,Bellman - Matriz,1,0.0353175
200-31840,Bellman - Matriz,2,0.0374871
200-31840,Bellman - Matriz,3,0.0366088
200-31840,Bellman - Matriz,4,0.0341012
200-31840,Bellman - Matriz,5,0.03425
200-31840,Bellman - Matriz,6,0.0320441
200-31840,Bellman - Matriz,7,0.0323331
200-31840,Bellman - Matriz,8,0.0323285
200-31840,Bellman - Matriz,9,0.0332398
200-31840,Bellman - Matriz,10,0.0338445
200-31840,Djkstra - Lista,1,0.0533569
200-31840,Djkstra - Lista,2,0.0530938
200-31840,Djkstra - Lista,3,0.0529789
200-31840,Djkstra - Lista,4,0.0536224
200-31840,Djkstra - Lista,5,0.0535595
200-31840,Djkstra - Lista,6,0.0537018
200-31840,Djkstra - Lista,7,0.0531481
200-31840,Djkstra - Lista,8,0.0562015
200-31840,Djkstra - Lista,9,0.0534313
200-31840,Djkstra - Lista,10,0.0587496
200-31840,Djkstra - Matriz,1,0.0591981
200-31840,Djkstra - Matriz,2,0.0482101
200-31840,Djkstra - Matriz,3,0.0474935
200-31840,Djkstra - Matriz,4,0.0472967
200-31840,Djkstra - Matriz,5,0.0461174
200-31840,Djkstra - Matriz,6,0.0458192
200-31840,Djkstra - Matriz,7,0.0483085
200-31840,Djkstra - Matriz,8,0.0466225
200-31840,Djkstra - Matriz,9,0.0467652
200-31840,Djkstra - Matriz,10,0.0491802
200-31840,Floyd,1,1.6670191
200-31840,Floyd,2,1.6413161
200-31840,Floyd,3,1.6857027
200-31840,Floyd,4,1.6720842
200-31840,Floyd,5,1.6603383
200-31840,Floyd,6,2.2455528
200-31840,Floyd,7,1.6005804
200-31840,Floyd,8,1.7021532
200-31840,Floyd,9,1.6287297
200-31840,Floyd,10,1.6738791
200-31840,Fulkerson,1,0.0352512
200-31840,Fulkerson,2,0.0361584
200-31840,Fulkerson,3,0.0354965
200-31840,Fulkerson,4,0.0315856
200-31840,Fulkerson,5,0.0343869
200-31840,Fulkerson,6,0.0359414
200-31840,Fulkerson,7,0.0315607
200-31840,Fulkerson,8,0.0376663
200-31840,Fulkerson,9,0.0309638
200-31840,Fulkerson,10,0.0326006
200-39800,BFS,1,0.060447
200-39800,BFS,2,0.0575392
200-39800,BFS,3,0.0631319
200-39800,BFS,4,0.057939
200-39800,BFS,5,0.054173
200-39800,BFS,6,0.0555153
200-39800,BFS,7,0.0549603
200-39800,BFS,8,0.0534957
200-39800,BFS,9,0.0541589
200-39800,BFS,10,0.0550341
200-39800,DFS,1,0.0489639
200-39800,DFS,2,0.0421381
200-39800,DFS,3,0.043229
200-39800,DFS,4,0.0441118
200-39800,DFS,5,0.0413346
200-39800,DFS,6,0.042043
200-39800,DFS,7,0.0415085
200-39800,DFS,8,0.0431975
200-39800,DFS,9,0.0423672
200-39800,DFS,10,0.0417844
200-39800,Ordenação,1,0.0451894
200-39800,Ordenação,2,0.0434741
200-39800,Ordenação,3,0.0441481
200-39800,Ordenação,4,0.0409359
200-39800,Ordenação,5,0.0444612
200-39800,Ordenação,6,0.0435108
200-39800,Ordenação,7,0.0429454
200-39800,Ordenação,8,0.0459971
200-39800,Ordenação,9,0.0433105
200-39800,Ordenação,10,0.0431243
200-39800,Kruskal,1,0.0897142
200-39800,Kruskal,2,0.0688702
200-39800,Kruskal,3,0.0695408
200-39800,Kruskal,4,0.0709815
200-39800,Kruskal,5,0.0686948
200-39800,Kruskal,6,0.0683951
200-39800,Kruskal,7,0.0688282
200-39800,Kruskal,8,0.068862
200-39800,Kruskal,9,0.0687321
200-39800,Kruskal,10,0.0692107
200-39800,Prim,1,0.0810675
200-39800,Prim,2,0.0539138
200-39800,Prim,3,0.0508818
200-39800,Prim,4,0.0500192
200-39800,Prim,5,0.0512926
200-39800,Prim,6,0.0515063
200-39800,Prim,7,0.0563671
200-39800,Prim,8,0.0522703
200-39800,Prim,9,0.0551855
200-39800,Prim,10,0.0529463
200-39800,Bellman - Lista,1,0.0578404
200-39800,Bellman - Lista,2,0.0557489
200-39800,Bellman - Lista,3,0.0575043
200-39800,Bellman - Lista,4,0.0578528
200-39800,Bellman - Lista,5,0.0612132
200-39800,Bellman - Lista,6,0.0579641
200-39800,Bellman - Lista,7,0.0577747
200-39800,Bellman - Lista,8,0.0647344
200-39800,Bellman - Lista,9,0.0691369
200-39800,Bellman - Lista,10,0.0635366
200-39800,Bellman - Matriz,1,0.043282
200-39800,Bellman - Matriz,2,0.0436268
200-39800,Bellman - Matriz,3,0.0394375
200-39800,Bellman - Matriz,4,0.039016
200-39800,Bellman - Matriz,5,0.0385244
200-39800,Bellman - Matriz,6,0.0391687
200-39800,Bellman - Matriz,7,0.0388174
200-39800,Bellman - Matriz,8,0.0384293
200-39800,Bellman - Matriz,9,0.0814883
200-39800,Bellman - Matriz,10,0.03808
200-39800,Djkstra - Lista,1,0.0592331
200-39800,Djkstra - Lista,2,0.0589365
200-39800,Djkstra - Lista,3,0.0612991
200-39800,Djkstra - Lista,4,0.0613108
200-39800,Djkstra - Lista,5,0.0625888
200-39800,Djkstra - Lista,6,0.0617278
200-39800,Djkstra - Lista,7,0.0627864
200-39800,Djkstra - Lista,8,0.0654917
200-39800,Djkstra - Lista,9,0.0600544
200-39800,Djkstra - Lista,10,0.0620529
200-39800,Djkstra - Matriz,1,0.0568597
200-39800,Djkstra - Matriz,2,0.0577447
200-39800,Djkstra - Matriz,3,0.05371
200-39800,Djkstra - Matriz,4,0.0529167
200-39800,Djkstra - Matriz,5,0.0536019
200-39800,Djkstra - Matriz,6,0.053736
200-39800,Djkstra - Matriz,7,0.05334
200-39800,Djkstra - Matriz,8,0.0517569
200-39800,Djkstra - Matriz,9,0.0523317
200-39800,Djkstra - Matriz,10,0.0515024
200-39800,Floyd,1,1.6914226
200-39800,Floyd,2,1.6801628
200-39800,Floyd,3,1.6364339
200-39800,Floyd,4,1.6904012
200-39800,Floyd,5,1.6735744
200-39800,Floyd,6,1.6391189
200-39800,Floyd,7,1.7187468
200-39800,Floyd,8,1.6537456
200-39800,Floyd,9,1.7050703
200-39800,Floyd,10,1.7146045
200-39800,Fulkerson,1,0.0414576
200-39800,Fulkerson,2,0.0388714
200-39800,Fulkerson,3,0.037692
200-39800,Fulkerson,4,0.0385818
200-39800,Fulkerson,5,0.0396017
200-39800,Fulkerson,6,0.037916
200-39800,Fulkerson,7,0.0375482
200-39800,Fulkerson,8,0.039447
200-39800,Fulkerson,9,0.0378185
200-39800,Fulkerson,10,0.0380385
500-49900,BFS,1,0.2457796
500-49900,BFS,2,0.1210121
500-49900,BFS,3,0.1233357
500-49900,BFS,4,0.092647
500-49900,BFS,5,0.0903182
500-49900,BFS,6,0.0923469
500-49900,BFS,7,0.0932115
500-49900,BFS,8,0.091837
500-49900,BFS,9,0.0903342
500-49900,BFS,10,0.0903355
500-49900,DFS,1,0.1087401
500-49900,DFS,2,0.0669345
500-49900,DFS,3,0.0659071
500-49900,DFS,4,0.0619621
500-49900,DFS,5,0.0702459
500-49900,DFS,6,0.0636113
500-49900,DFS,7,0.0656592
500-49900,DFS,8,0.06554
500-49900,DFS,9,0.0686757
500-49900,DFS,10,0.0813321
500-49900,Ordenação,1,0.0850471
500-49900,Ordenação,2,0.0714463
500-49900,Ordenação,3,0.0685227
500-49900,Ordenação,4,0.0627615
500-49900,Ordenação,5,0.0636827
500-49900,Ordenação,6,0.0654981
500-49900,Ordenação,7,0.0641387
500-49900,Ordenação,8,0.0613951
500-49900,Ordenação,9,0.0661395
500-49900,Ordenação,10,0.067005
500-49900,Kruskal,1,0.1993709
500-49900,Kruskal,2,0.1342157
500-49900,Kruskal,3,0.1610331
500-49900,Kruskal,4,0.3062546
500-49900,Kruskal,5,0.1414817
500-49900,Kruskal,6,0.1435178
500-49900,Kruskal,7,0.1356527
500-49900,Kruskal,8,0.1981147
500-49900,Kruskal,9,0.1885889
500-49900,Kruskal,10,0.1301848
500-49900,Prim,1,0.1422889
500-49900,Prim,2,0.1139299
500-49900,Prim,3,0.0980114
500-49900,Prim,4,0.1032285
500-49900,Prim,5,0.1042838
500-49900,Prim,6,0.0942357
500-49900,Prim,7,0.0920107
500-49900,Prim,8,0.0913853
500-49900,Prim,9,0.0927617
500-49900,Prim,10,0.1185666
500-49900,Bellman - Lista,1,0.1152952
500-49900,Bellman - Lista,2,0.109115
500-49900,Bellman - Lista,3,0.1248344
500-49900,Bellman - Lista,4,0.118119
500-49900,Bellman - Lista,5,0.1144371
500-49900,Bellman - Lista,6,0.1406041
500-49900,Bellman - Lista,7,0.145068
500-49900,Bellman - Lista,8,0.1214061
500-49900,Bellman - Lista,9,0.1145382
500-49900,Bellman - Lista,10,0.1403041
500-49900,Bellman - Matriz,1,0.0719469
500-49900,Bellman - Matriz,2,0.0672372
500-49900,Bellman - Matriz,3,0.0619072
500-49900,Bellman - Matriz,4,0.0615856
500-49900,Bellman - Matriz,5,0.0658873
500-49900,Bellman - Matriz,6,0.0636664
500-49900,Bellman - Matriz,7,0.0639958
500-49900,Bellman - Matriz,8,0.062283
500-49900,Bellman - Matriz,9,0.0672773
500-49900,Bellman - Matriz,10,0.0606086
500-49900,Djkstra - Lista,1,0.1348626
500-49900,Djkstra - Lista,2,0.1177835
500-49900,Djkstra - Lista,3,0.1755396
500-49900,Djkstra - Lista,4,0.1162188
500-49900,Djkstra - Lista,5,0.1219468
500-49900,Djkstra - Lista,6,0.1219786
500-49900,Djkstra - Lista,7,0.1300321
500-49900,Djkstra - Lista,8,0.1230487
500-49900,Djkstra - Lista,9,0.1027543
500-49900,Djkstra - Lista,10,0.1051614
500-49900,Djkstra - Matriz,1,0.1289304
500-49900,Djkstra - Matriz,2,0.1363716
500-49900,Djkstra - Matriz,3,0.1123507
500-49900,Djkstra - Matriz,4,0.1021244
500-49900,Djkstra - Matriz,5,0.1081579
500-49900,Djkstra - Matriz,6,0.1068299
500-49900,Djkstra - Matriz,7,0.096705
500-49900,Djkstra - Matriz,8,0.0922216
500-49900,Djkstra - Matriz,9,0.0943158
500-49900,Djkstra - Matriz,10,0.1053099
500-49900,Floyd,1,10.2832005
500-49900,Floyd,2,10.2167065
500-49900,Floyd,3,10.230418
500-49900,Floyd,4,10.2254052
500-49900,Floyd,5,10.9101342
500-49900,Floyd,6,10.1821181
500-49900,Floyd,7,10.0236959
500-49900,Floyd,8,10.0787887
500-49900,Floyd,9,10.1590005
500-49900,Floyd,10,10.1050251
500-49900,Fulkerson,1,0.0738447
500-49900,Fulkerson,2,0.0674411
500-49900,Fulkerson,3,0.0663624
500-49900,Fulkerson,4,0.0655054
500-49900,Fulkerson,5,0.0655439
500-49900,Fulkerson,6,0.0672949
500-49900,Fulkerson,7,0.0663919
500-49900,Fulkerson,8,0.0651886
500-49900,Fulkerson,9,0.0672596
500-49900,Fulkerson,10,0.0662267
500-99800,BFS,1,0.1479419
500-99800,BFS,2,0.1358613
500-99800,BFS,3,0.13735
500-99800,BFS,4,0.1368021
500-99800,BFS,5,0.1336703
500-99800,BFS,6,0.1373753
500-99800,BFS,7,0.1330151
500-99800,BFS,8,0.1395948
500-99800,BFS,9,0.1412496
500-99800,BFS,10,0.1337906
500-99800,DFS,1,0.1056904
500-99800,DFS,2,0.1017326
500-99800,DFS,3,0.0992124
500-99800,DFS,4,0.1029982
500-99800,DFS,5,0.1017071
500-99800,DFS,6,0.1021896
500-99800,DFS,7,0.0999407
500-99800,DFS,8,0.1118416
500-99800,DFS,9,0.1088254
500-99800,DFS,10,0.1132757
500-99800,Ordenação,1,0.1033349
500-99800,Ordenação,2,0.1198374
500-99800,Ordenação,3,0.1114758
500-99800,Ordenação,4,0.1005177
500-99800,Ordenação,5,0.1009497
500-99800,Ordenação,6,0.0988719
500-99800,Ordenação,7,0.1397586
500-99800,Ordenação,8,0.1027821
500-99800,Ordenação,9,0.1017697
500-99800,Ordenação,10,0.1008326
500-99800,Kruskal,1,0.2067713
500-99800,Kruskal,2,0.1996262
500-99800,Kruskal,3,0.2135388
500-99800,Kruskal,4,0.2197293
500-99800,Kruskal,5,0.2029675
500-99800,Kruskal,6,0.1888092
500-99800,Kruskal,7,0.2136213
500-99800,Kruskal,8,0.2037748
500-99800,Kruskal,9,0.1849503
500-99800,Kruskal,10,0.1923427
500-99800,Prim,1,0.1354811
500-99800,Prim,2,0.1312374
500-99800,Prim,3,0.12645
500-99800,Prim,4,0.128326
500-99800,Prim,5,0.1284361
500-99800,Prim,6,0.1298589
500-99800,Prim,7,0.1419082
500-99800,Prim,8,0.1345605
500-99800,Prim,9,0.1304362
500-99800,Prim,10,0.127879
500-99800,Bellman - Lista,1,0.2239906
500-99800,Bellman - Lista,2,0.2044886
500-99800,Bellman - Lista,3,0.226306
500-99800,Bellman - Lista,4,0.2509633
500-99800,Bellman - Lista,5,0.2826448
500-99800,Bellman - Lista,6,0.2068985
500-99800,Bellman - Lista,7,0.2023597
500-99800,Bellman - Lista,8,0.2224132
500-99800,Bellman - Lista,9,0.2060382
500-99800,Bellman - Lista,10,0.2221297
500-99800,Bellman - Matriz,1,0.1009256
500-99800,Bellman - Matriz,2,0.0949867
500-99800,Bellman - Matriz,3,0.0945255
500-99800,Bellman - Matriz,4,0.0966648
500-99800,Bellman - Matriz,5,0.095802
500-99800,Bellman - Matriz,6,0.1052002
500-99800,Bellman - Matriz,7,0.0982237
500-99800,Bellman - Matriz,8,0.0967183
500-99800,Bellman - Matriz,9,0.1012822
500-99800,Bellman - Matriz,10,0.0936155
500-99800,Djkstra - Lista,1,0.1538449
500-99800,Djkstra - Lista,2,0.1507164
500-99800,Djkstra - Lista,3,0.155397
500-99800,Djkstra - Lista,4,0.1488935
500-99800,Djkstra - Lista,5,0.1516253
500-99800,Djkstra - Lista,6,0.1505317
500-99800,Djkstra - Lista,7,0.1505938
500-99800,Djkstra - Lista,8,0.1512531
500-99800,Djkstra - Lista,9,0.1549873
500-99800,Djkstra - Lista,10,0.1593698
500-99800,Djkstra - Matriz,1,0.1343253
500-99800,Djkstra - Matriz,2,0.1298822
500-99800,Djkstra - Matriz,3,0.1342299
500-99800,Djkstra - Matriz,4,0.6039886
500-99800,Djkstra - Matriz,5,0.1762204
500-99800,Djkstra - Matriz,6,0.1384648
500-99800,Djkstra - Matriz,7,0.1359108
500-99800,Djkstra - Matriz,8,0.1267263
500-99800,Djkstra - Matriz,9,0.129654
500-99800,Djkstra - Matriz,10,0.1307854
500-99800,Floyd,1,10.1489673
500-99800,Floyd,2,10.1687868
500-99800,Floyd,3,10.1589873
500-99800,Floyd,4,10.1765023
500-99800,Floyd,5,10.1925138
500-99800,Floyd,6,10.1437561
500-99800,Floyd,7,10.1425652
500-99800,Floyd,8,10.1509401
500-99800,Floyd,9,10.1602997
500-99800,Floyd,10,10.1607532
500-99800,Fulkerson,1,0.1395007
500-99800,Fulkerson,2,0.1378033
500-99800,Fulkerson,3,0.1295825
500-99800,Fulkerson,4,0.1290155
500-99800,Fulkerson,5,0.1293392
500-99800,Fulkerson,6,0.1294126
500-99800,Fulkerson,7,0.1310064
500-99800,Fulkerson,8,0.130041
500-99800,Fulkerson,9,0.1297091
500-99800,Fulkerson,10,0.1278637
500-149700,BFS,1,0.19016
500-149700,BFS,2,0.1836428
500-149700,BFS,3,0.1836422
500-149700,BFS,4,0.1816212
500-149700,BFS,5,0.1886773
500-149700,BFS,6,0.1789864
500-149700,BFS,7,0.1948674
500-149700,BFS,8,0.1794159
500-149700,BFS,9,0.1817128
500-149700,BFS,10,0.182163
500-149700,DFS,1,0.1448308
500-149700,DFS,2,0.1374254
500-149700,DFS,3,0.1392189
500-149700,DFS,4,0.172525
500-149700,DFS,5,0.1401568
500-149700,DFS,6,0.1431508
500-149700,DFS,7,0.1391995
500-149700,DFS,8,0.1393607
500-149700,DFS,9,0.140912
500-149700,DFS,10,0.1524674
500-149700,Ordenação,1,0.1464748
500-149700,Ordenação,2,0.1352552
500-149700,Ordenação,3,0.1419822
500-149700,Ordenação,4,0.1373429
500-149700,Ordenação,5,0.1383471
500-149700,Ordenação,6,0.140099
500-149700,Ordenação,7,0.1418761
500-149700,Ordenação,8,0.1439048
500-149700,Ordenação,9,0.1372631
500-149700,Ordenação,10,0.1389098
500-149700,Kruskal,1,0.2909976
500-149700,Kruskal,2,0.2552484
500-149700,Kruskal,3,0.2443568
500-149700,Kruskal,4,0.2631852
500-149700,Kruskal,5,0.2978024
500-149700,Kruskal,6,0.2691793
500-149700,Kruskal,7,0.2485944
500-149700,Kruskal,8,0.2510985
500-149700,Kruskal,9,0.2760718
500-149700,Kruskal,10,0.2626662
500-149700,Prim,1,0.1679741
500-149700,Prim,2,0.1606383
500-149700,Prim,3,0.1603482
500-149700,Prim,4,0.1595263
500-149700,Prim,5,0.1614811
500-149700,Prim,6,0.1616582
500-149700,Prim,7,0.1603358
500-149700,Prim,8,0.1624156
500-149700,Prim,9,0.1614818
500-149700,Prim,10,0.1674392
500-149700,Bellman - Lista,1,0.3658466
500-149700,Bellman - Lista,2,0.3314262
500-149700,Bellman - Lista,3,0.3635297
500-149700,Bellman - Lista,4,0.2990401
500-149700,Bellman - Lista,5,0.3694843
500-149700,Bellman - Lista,6,0.2985069
500-149700,Bellman - Lista,7,0.3574686
500-149700,Bellman - Lista,8,0.302097
500-149700,Bellman - Lista,9,0.3641584
500-149700,Bellman - Lista,10,0.2993455
500-149700,Bellman - Matriz,1,0.1338658
500-149700,Bellman - Matriz,2,0.1323531
500-149700,Bellman - Matriz,3,0.1306057
500-149700,Bellman - Matriz,4,0.133576
500-149700,Bellman - Matriz,5,0.1300611
500-149700,Bellman - Matriz,6,0.1305219
500-149700,Bellman - Matriz,7,0.1274322
500-149700,Bellman - Matriz,8,0.1297318
500-149700,Bellman - Matriz,9,0.1293243
500-149700,Bellman - Matriz,10,0.128102
500-149700,Djkstra - Lista,1,0.1949127
500-149700,Djkstra - Lista,2,0.1968142
500-149700,Djkstra - Lista,3,0.2468162
500-149700,Djkstra - Lista,4,0.2229784
500-149700,Djkstra - Lista,5,0.2170783
500-149700,Djkstra - Lista,6,0.1955847
500-149700,Djkstra - Lista,7,0.1968578
500-149700,Djkstra - Lista,8,0.1953672
500-149700,Djkstra - Lista,9,0.193801
500-149700,Djkstra - Lista,10,0.1948369
500-149700,Djkstra - Matriz,1,0.1651875
500-149700,Djkstra - Matriz,2,0.1630952
500-149700,Djkstra - Matriz,3,0.1621977
500-149700,Djkstra - Matriz,4,0.1624182
500-149700,Djkstra - Matriz,5,0.1643625
500-149700,Djkstra - Matriz,6,0.1629099
500-149700,Djkstra - Matriz,7,0.1613203
